,notification_date,cases,death,applied
0,2020-01-25,3,0,False
1,2020-01-27,1,0,False
2,2020-03-01,2,0,False
3,2020-03-02,3,0,False
4,2020-03-03,6,1,False
5,2020-03-04,6,0,True
6,2020-03-05,4,0,True
7,2020-03-06,7,0,True
8,2020-03-07,2,1,True
9,2020-03-08,7,0,True
10,2020-03-09,13,0,True
11,2020-03-10,6,0,True
12,2020-03-11,16,0,True
13,2020-03-12,14,1,True
14,2020-03-13,19,0,True
15,2020-03-14,20,1,True
16,2020-03-15,38,0,True
17,2020-03-16,29,0,True
18,2020-03-17,64,1,True
19,2020-03-18,45,0,True
20,2020-03-19,56,1,True
21,2020-03-20,88,0,True
22,2020-03-21,122,0,True
23,2020-03-22,121,0,True
24,2020-03-23,177,1,True
25,2020-03-24,192,0,True
26,2020-03-25,206,0,True
27,2020-03-26,185,0,True
28,2020-03-27,213,1,True
29,2020-03-28,143,0,True
30,2020-03-29,124,0,True
31,2020-03-30,90,0,True
32,2020-03-31,131,2,True
33,2020-04-01,124,0,True
34,2020-04-02,92,2,True
35,2020-04-03,106,0,True
36,2020-04-04,73,4,True
37,2020-04-05,63,2,True
38,2020-04-06,40,3,True
39,2020-04-07,44,0,True
40,2020-04-08,44,0,True
41,2020-04-09,41,1,True
42,2020-04-10,30,1,True
43,2020-04-11,18,1,True
44,2020-04-12,9,1,True
45,2020-04-13,7,0,True
46,2020-04-14,21,0,True
47,2020-04-15,22,0,True
48,2020-04-16,22,0,True
49,2020-04-17,15,2,True
50,2020-04-18,17,1,True
51,2020-04-19,7,0,True
52,2020-04-20,2,1,True
53,2020-04-21,6,2,True
54,2020-04-22,3,1,True
55,2020-04-23,8,1,True
56,2020-04-24,14,1,True
57,2020-04-25,3,0,True
58,2020-04-26,1,0,True
59,2020-04-27,5,5,True
60,2020-04-28,10,1,True
61,2020-04-29,3,0,True
62,2020-04-30,15,1,True
63,2020-05-01,2,0,True
64,2020-05-02,2,1,True
65,2020-05-03,1,1,True
66,2020-05-04,4,1,True
67,2020-05-05,5,0,True
68,2020-05-06,3,0,True
69,2020-05-07,2,0,True
70,2020-05-08,4,0,True
71,2020-05-09,1,0,True
72,2020-05-10,1,0,True
73,2020-05-12,5,1,True
74,2020-05-13,4,0,True
75,2020-05-14,3,0,True
76,2020-05-15,2,0,True
77,2020-05-17,1,1,True
78,2020-05-18,2,1,True
79,2020-05-19,4,0,True
80,2020-05-20,1,0,True
81,2020-05-21,3,1,True
82,2020-05-23,1,0,True
83,2020-05-24,1,0,True
84,2020-05-25,2,0,True
85,2020-05-27,1,0,True
86,2020-05-28,2,0,True
87,2020-05-29,1,0,True
88,2020-05-30,2,0,True
89,2020-05-31,5,0,True
90,2020-06-01,4,0,True
91,2020-06-02,1,0,True
92,2020-06-03,2,0,True
93,2020-06-04,3,0,True
94,2020-06-06,1,0,True
95,2020-06-07,3,0,True
96,2020-06-08,1,0,True
97,2020-06-09,3,0,True
98,2020-06-11,3,0,True
99,2020-06-12,3,0,True
100,2020-06-13,9,0,True
101,2020-06-14,6,0,True
102,2020-06-17,2,0,True
103,2020-06-18,7,0,True
104,2020-06-19,1,0,True
105,2020-06-20,6,0,True
106,2020-06-21,1,0,True
107,2020-06-22,1,0,True
108,2020-06-23,10,0,True
109,2020-06-24,4,1,True
110,2020-06-25,6,0,True
111,2020-06-26,5,0,True
112,2020-06-27,10,0,True
113,2020-06-28,3,0,True
114,2020-06-29,6,0,True
115,2020-06-30,11,0,True
116,2020-07-01,6,0,True
117,2020-07-02,5,0,True
118,2020-07-03,8,0,True
119,2020-07-04,12,0,True
120,2020-07-05,8,0,True
121,2020-07-06,13,0,True
122,2020-07-07,6,0,True
123,2020-07-08,13,0,True
124,2020-07-09,9,0,True
125,2020-07-10,8,0,True
126,2020-07-11,2,0,True
127,2020-07-12,15,0,True
128,2020-07-13,17,0,True
129,2020-07-14,10,0,True
130,2020-07-15,9,0,True
131,2020-07-16,9,0,True
132,2020-07-17,13,0,True
133,2020-07-18,17,0,True
134,2020-07-19,20,0,True
135,2020-07-20,14,0,True
136,2020-07-21,14,0,True
137,2020-07-22,16,0,True
138,2020-07-23,7,0,True
139,2020-07-24,18,0,True
140,2020-07-25,18,0,True
141,2020-07-26,9,0,True
142,2020-07-27,15,0,True
143,2020-07-28,22,0,True
144,2020-07-29,15,0,True
145,2020-07-30,22,0,True
146,2020-07-31,15,1,True
147,2020-08-01,14,0,True
148,2020-08-02,11,0,True
149,2020-08-03,13,0,True
150,2020-08-04,9,0,True
151,2020-08-05,13,0,True
152,2020-08-06,11,0,True
153,2020-08-07,8,0,True
154,2020-08-08,14,0,True
155,2020-08-09,13,0,True
156,2020-08-10,22,0,True
157,2020-08-11,15,0,True
158,2020-08-12,10,1,True
159,2020-08-13,14,0,True
160,2020-08-14,7,0,True
161,2020-08-15,6,1,True
162,2020-08-16,5,0,True
163,2020-08-17,3,0,True
164,2020-08-18,8,0,True
165,2020-08-19,2,0,True
166,2020-08-20,5,0,True
167,2020-08-21,7,0,True
168,2020-08-22,2,0,True
169,2020-08-23,3,0,True
170,2020-08-24,4,0,True
171,2020-08-25,6,0,True
172,2020-08-26,12,0,True
173,2020-08-27,15,0,True
174,2020-08-28,10,0,True
175,2020-08-29,7,0,True
176,2020-08-30,11,0,True
177,2020-08-31,12,0,True
178,2020-09-01,15,0,True
179,2020-09-02,10,0,True
180,2020-09-03,7,0,True
181,2020-09-04,7,0,True
182,2020-09-05,8,0,True
183,2020-09-06,4,0,True
184,2020-09-07,11,0,True
185,2020-09-08,5,0,True
186,2020-09-09,10,0,True
187,2020-09-10,8,0,True
188,2020-09-11,8,0,True
189,2020-09-12,6,0,True
190,2020-09-13,7,0,True
191,2020-09-14,7,0,True
192,2020-09-15,5,0,True
193,2020-09-16,7,0,True
194,2020-09-17,3,0,True
195,2020-09-18,4,0,True
196,2020-09-19,1,1,True
197,2020-09-20,5,0,True
198,2020-09-21,1,0,True
199,2020-09-22,6,0,True
200,2020-09-23,3,0,True
201,2020-09-24,2,0,True
202,2020-09-25,1,0,True
203,2020-09-28,5,0,True
204,2020-09-29,2,0,True
205,2020-09-30,4,0,True
206,2020-10-01,3,0,True
207,2020-10-03,3,0,True
208,2020-10-04,2,0,True
209,2020-10-05,9,0,True
210,2020-10-06,3,0,True
211,2020-10-07,15,0,True
212,2020-10-08,6,0,True
213,2020-10-09,4,0,True
214,2020-10-10,7,0,True
215,2020-10-11,5,0,True
216,2020-10-12,15,0,True
217,2020-10-13,12,0,True
218,2020-10-14,10,0,True
219,2020-10-15,3,0,True
220,2020-10-16,7,0,True
221,2020-10-17,6,0,True
222,2020-10-18,6,0,True
223,2020-10-19,10,0,True
224,2020-10-20,4,0,True
225,2020-10-21,9,0,True
226,2020-10-22,3,0,True
227,2020-10-23,6,0,True
228,2020-10-24,7,0,True
229,2020-10-25,3,0,True
230,2020-10-26,15,0,True
231,2020-10-27,5,0,True
232,2020-10-28,4,0,True
233,2020-10-29,7,0,True
234,2020-10-30,4,0,True
235,2020-10-31,5,0,True
236,2020-11-01,5,0,True
237,2020-11-02,4,0,True
238,2020-11-03,7,0,True
239,2020-11-04,3,0,True
240,2020-11-05,10,0,True
241,2020-11-06,5,0,True
242,2020-11-07,4,0,True
243,2020-11-08,7,0,True
244,2020-11-09,5,0,True
245,2020-11-10,2,0,True
246,2020-11-11,5,0,True
247,2020-11-12,2,0,True
248,2020-11-13,6,0,True
249,2020-11-14,8,0,True
250,2020-11-15,2,0,True
251,2020-11-16,4,0,True
252,2020-11-17,6,0,True
253,2020-11-18,7,0,True
254,2020-11-19,3,0,True
255,2020-11-20,10,0,True
256,2020-11-21,9,0,True
257,2020-11-22,5,0,True
258,2020-11-23,7,0,True
259,2020-11-24,2,0,True
260,2020-11-26,5,0,True
261,2020-11-27,8,0,True
262,2020-11-28,4,0,True
263,2020-11-29,7,0,True
264,2020-11-30,8,0,True
265,2020-12-01,6,0,True
266,2020-12-02,8,0,True
267,2020-12-03,4,0,True
268,2020-12-04,2,0,True
269,2020-12-05,5,0,True
270,2020-12-06,7,0,True
271,2020-12-07,4,0,True
272,2020-12-08,2,0,True
273,2020-12-09,9,0,True
274,2020-12-10,6,0,True
275,2020-12-11,3,0,True
276,2020-12-12,3,0,True
277,2020-12-13,5,0,True
278,2020-12-14,7,0,True
279,2020-12-15,3,0,True
280,2020-12-16,9,0,True
281,2020-12-17,25,0,True
282,2020-12-18,28,0,True
283,2020-12-19,32,0,True
284,2020-12-20,28,0,True
285,2020-12-21,12,0,True
286,2020-12-22,13,0,True
287,2020-12-23,21,0,True
288,2020-12-24,12,0,True
289,2020-12-25,11,0,True
290,2020-12-26,13,0,True
291,2020-12-27,10,1,True
292,2020-12-28,9,0,True
293,2020-12-29,30,0,True
294,2020-12-30,9,0,True
295,2020-12-31,11,0,True
296,2021-01-01,17,0,True
297,2021-01-02,7,0,True
298,2021-01-03,11,0,True
299,2021-01-04,4,0,True
300,2021-01-05,4,0,True
301,2021-01-06,12,0,True
302,2021-01-07,5,0,True
303,2021-01-08,11,0,True
304,2021-01-09,7,0,True
305,2021-01-10,12,0,True
306,2021-01-11,11,0,True
307,2021-01-12,5,0,True
308,2021-01-13,2,0,True
309,2021-01-14,2,0,True
310,2021-01-15,14,0,True
311,2021-01-16,14,0,True
312,2021-01-17,2,0,True
313,2021-01-18,1,0,True
314,2021-01-19,4,0,True
315,2021-01-20,5,0,True
316,2021-01-22,1,0,True
317,2021-01-23,5,0,True
318,2021-01-24,1,0,True
319,2021-01-25,3,0,True
320,2021-01-26,1,0,True
321,2021-01-27,4,0,True
322,2021-01-28,4,0,True
323,2021-01-29,3,0,True
324,2021-01-30,2,0,True
325,2021-01-31,4,0,True
326,2021-02-01,2,0,True
327,2021-02-02,2,0,True
328,2021-02-03,3,0,True
329,2021-02-05,4,0,True
330,2021-02-07,5,0,True
331,2021-02-08,4,0,True
332,2021-02-09,1,0,True
333,2021-02-10,2,0,True
334,2021-02-11,2,0,True
335,2021-02-12,2,0,True
336,2021-02-13,2,0,True
337,2021-02-15,2,0,True
338,2021-02-16,3,0,True
339,2021-02-17,1,0,True
340,2021-02-18,2,0,True
341,2021-02-19,1,0,True
342,2021-02-20,3,0,True
343,2021-02-21,1,0,True
344,2021-02-22,4,0,True
345,2021-02-23,4,0,True
346,2021-02-24,5,0,True
347,2021-02-25,4,0,True
348,2021-02-26,4,0,True
349,2021-02-27,4,0,True
350,2021-02-28,6,0,True
351,2021-03-01,1,0,True
352,2021-03-02,5,0,True
353,2021-03-03,6,0,True
354,2021-03-04,9,0,True
355,2021-03-05,4,0,True
356,2021-03-06,1,0,True
357,2021-03-07,1,0,True
358,2021-03-08,5,0,True
359,2021-03-09,6,0,True
360,2021-03-10,7,0,True
361,2021-03-11,6,0,True
362,2021-03-13,5,0,True
363,2021-03-14,3,0,True
364,2021-03-15,1,0,True
365,2021-03-16,6,0,True
366,2021-03-17,8,0,True
367,2021-03-18,1,0,True
368,2021-03-19,2,0,True
369,2021-03-20,5,0,True
370,2021-03-21,4,0,True
371,2021-03-22,2,0,True
372,2021-03-23,4,0,True
373,2021-03-24,3,0,True
374,2021-03-25,2,0,True
375,2021-03-26,3,0,True
376,2021-03-28,4,0,True
377,2021-03-29,4,0,True
378,2021-03-30,5,0,True
379,2021-03-31,2,0,True
380,2021-04-02,3,0,True
381,2021-04-03,1,0,True
382,2021-04-04,4,0,True
383,2021-04-05,9,0,True
384,2021-04-06,5,0,True
385,2021-04-07,1,0,True
386,2021-04-08,3,0,True
387,2021-04-09,5,0,True
388,2021-04-10,7,0,True
389,2021-04-11,6,0,True
390,2021-04-12,4,0,True
391,2021-04-13,4,0,True
392,2021-04-14,12,0,True
393,2021-04-15,1,0,True
394,2021-04-16,9,0,True
395,2021-04-17,4,0,True
396,2021-04-18,9,0,True
397,2021-04-19,4,0,True
398,2021-04-20,7,0,True
399,2021-04-21,15,0,True
400,2021-04-22,5,0,True
401,2021-04-23,1,0,True
402,2021-04-24,4,0,True
403,2021-04-25,7,0,True
404,2021-04-26,16,0,True
405,2021-04-27,12,0,True
406,2021-04-28,17,0,True
407,2021-04-29,2,0,True
408,2021-04-30,4,0,True
409,2021-05-01,2,0,True
410,2021-05-02,8,0,True
411,2021-05-03,9,0,True
412,2021-05-04,7,0,True
413,2021-05-05,9,0,True
414,2021-05-06,4,0,True
415,2021-05-07,5,0,True
416,2021-05-08,7,0,True
417,2021-05-09,6,0,True
418,2021-05-10,4,0,True
419,2021-05-11,2,0,True
420,2021-05-12,5,0,True
421,2021-05-13,3,0,True
422,2021-05-14,2,0,True
423,2021-05-15,2,0,True
424,2021-05-16,2,0,True
425,2021-05-17,3,0,True
426,2021-05-18,2,0,True
427,2021-05-19,2,0,True
428,2021-05-21,3,0,True
429,2021-05-23,2,0,True
430,2021-05-24,2,0,True
431,2021-05-25,2,0,True
432,2021-05-27,4,0,True
433,2021-05-28,2,0,True
434,2021-05-29,3,0,True
435,2021-05-30,2,0,True
436,2021-06-01,1,0,True
437,2021-06-02,2,0,True
438,2021-06-04,4,0,True
439,2021-06-05,3,0,True
440,2021-06-06,4,0,True
441,2021-06-07,8,0,True
442,2021-06-08,1,0,True
443,2021-06-09,2,0,True
444,2021-06-10,2,0,True
445,2021-06-12,1,0,True
446,2021-06-13,8,0,True
447,2021-06-14,4,0,True
448,2021-06-15,1,0,True
449,2021-06-16,4,0,True
450,2021-06-17,1,0,True
451,2021-06-18,7,0,True
452,2021-06-19,7,0,True
453,2021-06-20,3,0,True
454,2021-06-21,5,0,True
455,2021-06-22,19,0,True
456,2021-06-23,12,0,True
457,2021-06-24,22,0,True
458,2021-06-25,28,0,True
459,2021-06-26,28,0,True
460,2021-06-27,23,0,True
461,2021-06-28,16,0,True
462,2021-06-29,31,0,True
463,2021-06-30,31,0,True
464,2021-07-01,31,0,True
465,2021-07-02,42,0,True
466,2021-07-03,24,0,True
467,2021-07-04,31,0,True
468,2021-07-05,17,0,True
469,2021-07-06,35,0,True
470,2021-07-07,37,0,True
471,2021-07-08,46,0,True
472,2021-07-09,52,0,True
473,2021-07-10,107,1,True
474,2021-07-11,121,0,True
475,2021-07-12,73,1,True
476,2021-07-13,91,0,True
477,2021-07-14,76,0,True
478,2021-07-15,102,0,True
479,2021-07-16,114,1,True
480,2021-07-17,99,1,True
481,2021-07-18,111,0,True
482,2021-07-19,66,1,True
483,2021-07-20,107,0,True
484,2021-07-21,143,0,True
485,2021-07-22,144,0,True
486,2021-07-23,150,1,True
487,2021-07-24,140,2,True
488,2021-07-25,176,0,True
489,2021-07-26,143,2,True
490,2021-07-27,158,1,True
491,2021-07-28,255,1,True
492,2021-07-29,182,1,True
493,2021-07-30,197,1,True
494,2021-07-31,242,0,True
495,2021-08-01,194,0,True
496,2021-08-02,208,1,True
497,2021-08-03,236,0,True
498,2021-08-04,248,2,True
499,2021-08-05,320,5,True
500,2021-08-06,302,3,True
501,2021-08-07,252,1,True
502,2021-08-08,260,4,True
503,2021-08-09,367,1,True
504,2021-08-10,338,3,True
505,2021-08-11,371,3,True
506,2021-08-12,401,1,True
507,2021-08-13,454,5,True
508,2021-08-14,325,5,True
509,2021-08-15,508,7,True
510,2021-08-16,578,2,True
511,2021-08-17,549,3,True
512,2021-08-18,638,1,True
513,2021-08-19,761,3,True
514,2021-08-20,771,4,True
515,2021-08-21,813,3,True
516,2021-08-22,744,3,True
517,2021-08-23,828,0,True
518,2021-08-24,916,2,True
519,2021-08-25,965,3,True
520,2021-08-26,945,2,True
521,2021-08-27,1128,2,True
522,2021-08-28,1109,6,True
523,2021-08-29,1203,3,True
524,2021-08-30,1084,4,True
525,2021-08-31,1210,4,True
526,2021-09-01,1331,7,True
527,2021-09-02,1367,12,True
528,2021-09-03,1529,4,True
529,2021-09-04,1219,3,True
530,2021-09-05,1184,5,True
531,2021-09-06,1276,9,True
532,2021-09-07,1404,7,True
533,2021-09-08,1434,6,True
534,2021-09-09,1525,9,True
535,2021-09-10,1459,8,True
536,2021-09-11,1260,7,True
537,2021-09-12,1170,7,True
538,2021-09-13,1247,2,True
539,2021-09-14,1196,12,True
540,2021-09-15,1324,12,True
541,2021-09-16,1266,9,True
542,2021-09-17,1290,9,True
543,2021-09-18,1077,13,True
544,2021-09-19,911,4,True
545,2021-09-20,1045,10,True
546,2021-09-21,1126,5,True
547,2021-09-22,1056,6,True
548,2021-09-23,991,11,True
549,2021-09-24,1035,11,True
550,2021-09-25,916,9,True
551,2021-09-26,805,12,True
552,2021-09-27,836,7,True
553,2021-09-28,906,15,True
554,2021-09-29,968,6,True
555,2021-09-30,841,15,True
556,2021-10-01,829,10,True
557,2021-10-02,684,10,True
558,2021-10-03,631,6,True
559,2021-10-04,593,7,True
560,2021-10-05,544,10,True
561,2021-10-06,632,8,True
562,2021-10-07,672,11,True
563,2021-10-08,522,11,True
564,2021-10-09,510,6,True
